SSver,display,suffix,maxn,trial,d1obj1,d1obj2,d1obj3,d1obj4,d1obj5,d1obj6,d2obj1,d2obj2,d2obj3,d2obj4,d2obj5,d2obj6,cue,tarLoc,change,blanks,proc1,proc2
v02NO2,main,.jpg,96,20,26427903.thl,ACAMPSTO7,AMUFFIPAN,Ablouse2,Aoutdoorhalo2,icecream1,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,AFRYINGP2,blank,,
v02NO2,main,.jpg,96,21,26427910.thl,ACANDEXT,AMUSIHORN,Aboardgame6,Apackage3,iguana,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,26425112.thl,blank,,
v02NO2,main,.jpg,96,22,26428110.thl,ACANE2,ANEWSBOX4,Aboot9,Apaintedwood3,image004,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,bathtowel,blank,,
v02NO2,main,.jpg,96,23,26428593.thl,ACANTELOP,ANUTS2,Abootbinding,Apaintroller2,ipod01,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,ATAPEDIS7,blank,,
v02NO2,main,.jpg,96,24,26428682.thl,ACAPTAIN9,AOLDBAT2,Abottle85,Apaintroller3,labyrinthe,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,Asquid2,blank,,
v02NO2,main,.jpg,96,25,26428753.thl,ACAROSLI2,AOLDLIFE3,Abottle98,Apants8,laptopA,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,AWASHRACK,blank,,
v02NO2,main,.jpg,96,26,26429097.thl,ACASSETT2,AOLDMILL2,Abottleofbat2,Apaperclip6,largemacscreen,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,makeuppowder,blank,,
v02NO2,main,.jpg,96,27,26429109.thl,ACASTLE16,AOLIVE,Abottleofwin4,Apartyha3,leek,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,10049464.thl,blank,,
v02NO2,main,.jpg,96,28,26429123.thl,ACDRAINER,AONETOAST,Abottleopener,Apeanut3,liquid-a,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,ASOAPBOT3,blank,,
v02NO2,main,.jpg,96,29,26429130.thl,ACEILHOOK,AOPGLASS,Abowloffruit5,Apeddleboat3,makeupfoundation,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,26373844.thl,blank,,
v02NO2,main,.jpg,96,30,26431119.thl,ACEMPOST,AORIENBOW,Abowlofporrid,Apedestal3,mechanicalspring,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,26554880.thl,blank,,
v02NO2,main,.jpg,96,31,26431205.thl,ACEREAL,AOTOSCOP5,Abox80,Apencilshar13,medievalknight,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ACOOKCUTT,blank,,
v02NO2,main,.jpg,96,32,26431395.thl,ACHAIRDE2,AOUTHOUSE,Aboxofnotepa4,Apencilsharp5,metronomeN,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,Astingray2,blank,,
v02NO2,main,.jpg,96,33,26431414.thl,ACHANGDIS,AOVALFRAM,Abracelet3,Apepperoni,mixer,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,railroadblock,blank,,
v02NO2,main,.jpg,96,34,26431471.thl,ACHEESEGR,AOVEN,Abrasscr2,Apercussion16,moneyslotmachine,blanks,blanks,blanks,change,d1obj5,d1obj6,0,4,Athimble2,blank,,
v02NO2,main,.jpg,96,35,26431734.thl,ACHEESESL,AOVENMIT5,Abreastpump2,Apicturefra27,mouse-a,blanks,blanks,blanks,d1obj4,change,d1obj6,0,5,Ashelf27,blank,,
v02NO2,main,.jpg,96,36,26431802.thl,ACHERRY,APAINTJ11,Abrickhomeand,Apineapple3,mriscanner,blanks,blanks,blanks,d1obj4,d1obj5,change,0,6,AHEATER,blank,,
v02NO2,main,.jpg,96,37,26431848.thl,ACHILDISH,APANCAKE3,Abridge9,Apitchfork4,muffin2,change,d1obj2,d1obj3,blanks,blanks,blanks,0,1,ACLOSET4,blank,,
v02NO2,main,.jpg,96,38,26432607.thl,ACHINDECP,APARSLEY,Abrooch100,Aplantinpot2,oldbookN,d1obj1,change,d1obj3,blanks,blanks,blanks,0,2,igloo,blank,,
v02NO2,main,.jpg,96,39,26432796.thl,ACHINLAMP,APASTA19,Abroom23,Aplantinpot4,orientalvase,d1obj1,d1obj2,change,blanks,blanks,blanks,0,3,Ablanket2,blank,,
